valid_time,surface_temp,surface_wind,wind_dir,rh,cloud_cover,pressure
2019-03-05 08:00:00,1,1,东风,87,80,903
2019-03-05 14:00:00,15,3,南风,17,95,902
2019-03-05 20:00:00,5,3,东风,57,0,905
2019-03-06 02:00:00,0,1,南风,77,0,908
2019-03-06 08:00:00,-1,0,东风,64,0,909
2019-03-06 14:00:00,10,1,东南风,16,7,908
2019-03-06 20:00:00,2,5,东风,26,8,910
2019-03-07 02:00:00,-3,2,东风,33,36,912
2019-03-07 08:00:00,-2,0,东风,34,70,913
2019-03-07 14:00:00,7,1,东风,17,99,910
2019-03-07 20:00:00,2,3,东风,32,100,909
2019-03-08 02:00:00,-2,2,东风,55,90,908
2019-03-08 08:00:00,-2,1,东风,43,96,907
2019-03-08 14:00:00,8,4,东北风,20,96,904
2019-03-08 20:00:00,1,3,东风,47,89,903
2019-03-09 02:00:00,-1,2,东风,73,6,902
2019-03-09 08:00:00,-1,1,东北风,68,4,902
2019-03-09 14:00:00,12,2,东南风,26,0,900
2019-03-09 20:00:00,5,2,东风,51,14,902
2019-03-10 02:00:00,0,2,东风,83,0,903
2019-03-10 08:00:00,0,1,东北风,82,26,903
2019-03-10 14:00:00,11,7,东风,17,10,901
2019-03-10 20:00:00,3,4,东南风,27,0,903
2019-03-11 02:00:00,-1,2,东风,45,0,903
2019-03-11 08:00:00,0,3,东南风,50,0,905
2019-03-11 14:00:00,10,6,东南风,17,0,904
2019-03-11 20:00:00,3,2,东南风,25,0,905
2019-03-12 02:00:00,0,1,东南风,27,0,906
2019-03-12 08:00:00,0,0,东风,26,0,906
